Name,Ticker,Country,Industry,Sector,Business Summary,Beta,Trailing PE,Forward PE,Price to Book,Market Cap,Shares Outstanding,Book Value,Trailing EPS,Forward EPS,PEG Ratio,Enterprise to Revenue,Enterprise to EBITDA,Total Revenue,Debt to Equity,Revenue per Share,Return on Assets,Return on Equity
"Annovis Bio, Inc.",ANVS,United States,Biotechnology,Healthcare,"Annovis Bio, Inc., a clinical stage drug platform company, develops drugs to treat neurodegeneration. The company's lead product candidate is Buntanetap, which has completed three Phase 1/2 clinical trials for the treatment of Alzheimer's disease (AD), Parkinson's disease, and other chronic neurodegenerative diseases. It is also developing ANVS405, which is in Phase 2 and Phase 3 efficacy studies, an intravenous drug for protecting the brain after traumatic brain injury and/or stroke; and ANVS301, which is in Phase I clinical trials, an orally administered drug to increase cognitive capability in later stages of AD and dementia. The company was incorporated in 2008 and is based in Malvern, Pennsylvania.",1.74,N/A,-5.284153,N/A,126493272,13054000,-0.149,-4.54,-1.83,N/A,N/A,N/A,N/A,N/A,N/A,-1.8338901,-4.53011
"Artivion, Inc.",AORT,United States,Medical Devices,Healthcare,"Artivion, Inc. manufactures, processes, and distributes medical devices and implantable human tissues worldwide. The company provides BioGlue, a polymer consisting of bovine blood protein and an agent for cross-linking proteins for cardiac, vascular, neurologic, and pulmonary procedures; cardiac preservation services; PhotoFix, a bovine pericardial patch; and aortic arch stent grafts including E-vita Open Plus and E-vita Open Neo. It offers E-xtra design engineering systems for the treatment of aortic vascular diseases; E-nside, an off-the-shelf stent graft for the treatment of thoraco-abdominal disease; E-vita THORACIC 3G for the endovascular treatment of thoracic aortic aneurysms; E-ventus BX, a balloon-expandable peripheral stent graft for the endovascular treatment of renal and pelvic arteries; E-liac to treat aneurysmal iliac arteries, and aneurysmal iliac side branches; and E-tegra, a stent graft system for the treatment of infrarenal abdominal aortic aneurysms. In addition, the company offers synthetic vascular grafts for use in open aortic and peripheral vascular surgical procedures; PerClot, an absorbable powdered hemostat for use in surgical procedures; cardiac laser therapy products for angina treatment; CryoVein femoral vein and CryoArtery femoral artery vascular preservation services; On-X prosthetic aortic and mitral heart valves and the On-X ascending aortic prosthesis; CarbonAid CO2 diffusion catheters and Chord-X ePTFE sutures for mitral chordal replacement; and ascyrus medical dissection stents, as well as pyrolytic carbon coating services to medical device manufacturers. It serves physicians, hospitals, and other healthcare facilities, as well as cardiac, vascular, thoracic, and general surgeons. The company was formerly known as CryoLife, Inc. and changed its name to Artivion, Inc. in January 2022. Artivion, Inc. was incorporated in 1984 and is headquartered in Kennesaw, Georgia.",1.75,N/A,139.63159,3.7577906,1111434624,41893500,7.06,-0.21,0.19,212.66,3.764,28.775,376974016,122.904,9.152,0.02069,-0.028959999
"Ardent Health Partners, Inc.",ARDT,United States,Medical Care Facilities,Healthcare,"Ardent Health Partners, Inc. owns and operates a network of hospitals and clinics that provides a range of healthcare services in the United States. It operates acute care hospitals, including rehabilitation hospitals and surgical hospitals. The company was founded in 2001 and is based in Brentwood, Tennessee. Ardent Health Partners, Inc. is a subsidiary of EGI-AM Investments, L.L.C.",N/A,29.694918,8.673267,11.503612,2501208064,142763008,1.523,0.59,2.02,N/A,0.856,11.702,5633726976,193.406,11.594,N/A,N/A
"ATI Physical Therapy, Inc.",ATIP,United States,Medical Care Facilities,Healthcare,"ATI Physical Therapy, Inc. operates as an outpatient physical therapy provider that specializes in outpatient rehabilitation and adjacent healthcare services in the United States. It offers a range of services to its patients, including physical therapy to treat spine, shoulder, knee, and neck injuries or pain; work injury rehabilitation services, work conditioning and work hardening; and hand therapy, aquatic therapy, functional capacity evaluation, sports medicine, and wellness programs. It also provides ATI worksite solutions comprising injury prevention programs, work-related injury assessment services, wellness offerings, and consultations for employers; proprietary electronic medical records (EMR) integration, caseload management, and continuing education in therapy treatments; and sports medicine, including on-site sports physical therapy, clinical evaluation and diagnosis, immediate and emergency care, nutrition programs, and concussion management services. The company offers outpatient physical therapy services under the ATI brand name. ATI Physical Therapy, Inc. was founded in 1996 and is based in Bolingbrook, Illinois.",0.407,N/A,-0.8073878,N/A,26934242,4401020,-30.144,-13.46,-7.58,-0.05,1.378,38.109,717148992,685.163,170.364,-0.00129,-0.28035998
Auna SA,AUNA,Luxembourg,Medical Care Facilities,Healthcare,"Auna S.A., a healthcare service provider, operates hospitals and clinics in Mexico, Peru, and Colombia. The company provides prepaid healthcare plans in Peru; and dental and vision plans in Mexico. The company was founded in 1989 and is based in Luxembourg, Luxembourg.",N/A,N/A,8.9759035,0.37246272,572860992,30000000,20.002,-0.93,0.83,N/A,1.064,5.304,4232588032,248.177,80.98,0.056420002,-0.13607
"Avanos Medical, Inc.",AVNS,United States,Medical Devices,Healthcare,"Avanos Medical, Inc., a medical technology company, offers medical device solutions in North America, Europe, the Middle East, Africa, the Asia Pacific, and Latin America. It offers a portfolio of chronic care products that include digestive health products, such as Mic-Key enteral feeding tubes, Corpak patient feeding solutions, and NeoMed neonatal and pediatric feeding solutions. The company also provides a portfolio of non-opioid pain solutions, including surgical pain and recovery products, such as ON-Q and ambIT surgical pain pumps, Game Ready cold, and compression therapy systems. In addition, it offers interventional pain solutions, which offers minimally invasive pain-relieving therapies, such as Coolief pain relief therapy; OrthogenRx's knee osteoarthritis hyaluronic acid pain relief injection products; and Trident radiofrequency ablation products to treat chronic pain conditions. It markets its products directly to hospitals and other healthcare providers, healthcare facilities, and other end-user customers, as well as through third-party wholesale distributors. The company was formerly known as Halyard Health, Inc. and changed its name to Avanos Medical, Inc. in June 2018. Avanos Medical, Inc. was incorporated in 2014 and is headquartered in Alpharetta, Georgia.",0.94,157.79999,13.005494,0.8890809,1087612800,45949000,26.623,0.15,1.82,2.65,1.777,10.224,682400000,17.864,14.739,0.0276,0.0057
Baxter International Inc.,BAX,United States,Medical Instruments & Supplies,Healthcare,"Baxter International Inc., through its subsidiaries, develops and provides a portfolio of healthcare products worldwide. The company operates through four segments: Medical Products and Therapies, Healthcare Systems and Technologies, Pharmaceuticals, and Kidney Care. The company offers sterile intravenous (IV) solutions; infusion systems and devices; parenteral nutrition therapies; generic injectable pharmaceuticals; surgical hemostat and sealant products, advanced surgical equipment; smart bed systems; patient monitoring and diagnostic technologies; and respiratory health devices, as well as advanced equipment for the surgical space, including surgical video technologies, precision positioning devices, and other accessories. It also provides administrative sets; adhesion prevention products; inhaled anesthesia; drug compounding; chronic and acute dialysis therapies and services, including peritoneal dialysis (PD), hemodialysis (HD), continuous renal replacement therapies (CRRT), and other organ support therapies. The company's products are used in hospitals, kidney dialysis centers, nursing homes, rehabilitation centers, ambulatory surgery centers, doctors' offices, and patients at home under physician supervision. The company sells its products through direct sales force, as well as through independent distributors, drug wholesalers, and specialty pharmacy or other alternate site providers in approximately 100 countries. It has an agreement with Celerity Pharmaceutical, LLC to develop acute care generic injectable premix and oncolytic products; and a collaborative research agreement with Miromatrix Medical Inc. aiming to advance care for patients with acute liver failure. Baxter International Inc. was incorporated in 1931 and is headquartered in Deerfield, Illinois.",0.574,N/A,11.890282,2.5313668,19351050240,510177984,14.984,-0.3,3.19,1.19,2.045,10.696,14997000192,173.106,29.551,0.03711,-0.02219
"Becton, Dickinson and Company",BDX,United States,Medical Instruments & Supplies,Healthcare,"Becton, Dickinson and Company develops, manufactures, and sells medical supplies, devices, laboratory equipment, and diagnostic products for healthcare institutions, physicians, life science researchers, clinical laboratories, pharmaceutical industry, and the general public worldwide. The company operates in three segments: BD Medical, BD Life Sciences, and BD Interventional. The BD Medical segment provides peripheral intravenous (IV) and advanced peripheral catheters, central lines, acute dialysis catheters, vascular access technology, vascular care and preparation products, needle-free IV connectors and extensions sets, closed-system drug transfer devices, hazardous drug detections, hypodermic syringes and needles, anesthesia needles and trays, enteral syringes, and sharps disposal systems; IV medication safety and infusion therapy delivery systems, medication compounding workflow systems, automated medication dispensing and supply management systems, and medication inventory optimization and tracking systems; and prefillable drug delivery systems. The BD Life Sciences segment offers specimen and blood collection products; automated blood and tuberculosis culturing, molecular testing, microorganism identification and drug susceptibility, and liquid-based cytology systems, as well as rapid diagnostic assays, microbiology laboratory automation products, and plated media products; and fluorescence-activated cell sorters and analyzers, antibodies and kits, reagent systems, and solutions for single-cell gene expression analysis, as well as clinical oncology, immunological, and transplantation diagnostic/monitoring reagents and analyzers. The BD Interventional segment provides hernia and soft tissue repair, biological and bioresorbable grafts, biosurgery, and other surgical products; surgical infection prevention; peripheral intervention products; and urology and critical care products. The company was founded in 1897 and is headquartered in Franklin Lakes, New Jersey.",0.443,47.3487,16.568724,2.6400063,68323848192,289041984,89.496,4.99,14.26,2.08,4.151,16.11,19828000768,74.698,68.368,0.032479998,0.05633
"Butterfly Network, Inc.",BFLY,United States,Medical Devices,Healthcare,"Butterfly Network, Inc. develops, manufactures, and commercializes ultrasound imaging solutions in the United States and internationally. It offers Butterfly iQ, a handheld and single-probe whole body ultrasound system; Butterfly iQ+ and iQ3 ultrasound devices that can perform whole-body imaging in a single handheld probe integrated with the clinical workflow, and accessible on a user's smartphone, tablet, and almost any hospital computer system; and Butterfly iQ+ Vet, a handheld ultrasound system designed for veterinarians. The company also provides Butterfly system, which includes probes, and related accessories and software subscriptions to healthcare systems, physicians, and healthcare providers through a direct sales force, distributors, and eCommerce channel. In addition, it offers cloud-based software solutions to healthcare systems, teleguidance, in-app educational tutorials, and formal education programs through its Butterfly Academy software, as well as professional services for large scale deployments; and ScanLab, an education-only app provides written walkthroughs and reference imagery to guide real-time educational scanning, enhancing the learning process. Butterfly Network, Inc. was founded in 2011 and is headquartered in Burlington, Massachusetts.",2.145,N/A,-2.4771795,1.0570022,203943712,186147008,0.914,-0.52,-0.39,N/A,1.791,-1.231,71080000,12.34,0.341,-0.21099001,-0.46168998
Bausch Health Companies Inc.,BHC,Canada,Drug Manufacturers - Specialty & Generic,Healthcare,"Bausch Health Companies Inc. operates as a diversified specialty pharmaceutical and medical device company in the United States and internationally. It develops, manufactures, and markets a range of products primarily in gastroenterology, hepatology, neurology, dermatology, international pharmaceuticals, over-the-counter (OTC) products, aesthetic medical devices, and eye health. The company operates through five segments: Salix, International, Solta Medical, Diversified, and Bausch + Lomb. The Salix segment provides gastroenterology products in the United States. The International segment sells aesthetic medical devices, branded pharmaceuticals, generic pharmaceuticals, and OTC products internationally. The Solta Medical segment engages in the sale of aesthetic medical devices. The Diversified segment offers pharmaceutical products in the areas of neurology and certain other therapeutic classes; generic products; ortho dermatologic; and dentistry products in the United States. The Bausch + Lomb segment offers products in the areas of vision care, surgical, and ophthalmic pharmaceuticals products. The company was formerly known as Valeant Pharmaceuticals International, Inc. and changed its name to Bausch Health Companies Inc. in July 2018. Bausch Health Companies Inc. is headquartered in Laval, Canada.",0.77,N/A,1.4350961,N/A,2191604992,367103008,-3.202,-1.31,4.16,0.63,2.63,8.071,9201999872,N/A,25.104,0.04161,-23.045448
Biohaven Ltd.,BHVN,United States,Biotechnology,Healthcare,"Biohaven Ltd., together with its subsidiaries, focuses on discovering, developing, and commercializing therapies for immunology, neuroscience, and oncology worldwide. The company's pipeline products include Troriluzole, which is in Phase 3 clinical trial for the treatment of neurological and neuropsychiatric illnesses; BHV-5500 that blocks glutamate signaling mediated by post-synaptic NMDA receptors; Taldefgrobep Alfa, which is in Phase 3 clinical trial for the treatment of spinal muscular atrophy and obesity; BHV-7000, a candidate in Phase 2/3 clinical trials for the treatment of focal and generalized epilepsy, bipolar disorder, and major depressive disorder; BHV-2100 that is in Phase 1 clinical trials for the treatment of migraines and neuropathic pain; and BHV-8000, a product candidate in Phase 1 clinical trials for the treatment of early Alzheimer's and Parkinson's disease, sclerosis, and amyloid-related imaging abnormalities. It also offers BHV-1300, a product candidate in Phase 1 clinical trials to treat rheumatoid arthritis; BHV-1310 for the treatment of generalized myasthenia gravis and acute exacerbations or flares; BHV-1400 to treat IgA Nephropathy; and BHV-1600 for the treatment of dilated cardiomyopathy. In addition, the company develops BHV-1100, a product candidate in Phase 1a/1b clinical trials for multiple myeloma patients; BHV-1510, a preclinical product that targets carcinomas; and BHV-1500 for Hodgkin's lymphoma. It has license, development, and commercialization agreements with Yale University, AstraZeneca, University of Connecticut, Artizan Biosciences Inc., Reliant Glycosciences LLC, Katholieke Universiteit Leuven, BMS, and Highlightll Pharmaceutical Co. Ltd. The company was formerly known as Biohaven Research Ltd and changed its name to Biohaven Ltd. in September 2022. Biohaven Ltd. was incorporated in 2022 and is headquartered in New Haven, Connecticut. Biohaven Ltd. was formerly a subsidiary of Biohaven Pharmaceutical Holding Company Ltd.",N/A,N/A,-6.1388483,10.002406,3945249280,94542304,4.155,-9.26,-6.77,N/A,N/A,-4.548,N/A,7.751,N/A,-0.89646006,-1.93673
Brookdale Senior Living Inc.,BKD,United States,Medical Care Facilities,Healthcare,"Brookdale Senior Living Inc. owns, manages, and operates senior living communities in the United States. It operates in three segments: Independent Living, Assisted Living and Memory Care, and Continuing Care Retirement Communities (CCRCs). The Independent Living segment owns or leases communities comprising independent and assisted living units in a single community that are primarily designed for middle to upper income seniors. The Assisted Living and Memory Care segment owns or leases communities consisting of freestanding, multi-story communities and freestanding, single-story communities, which offer housing and 24-hour assistance with activities of daily living for the Company's residents. This segment also operates memory care communities for residents with Alzheimer's and other dementias. The CCRCs segment owns or leases communities that provides various living arrangements, such as independent and assisted living, memory care, and skilled nursing; and services to accommodate various levels of physical ability and healthcare needs. It also manages communities on behalf of others. Brookdale Senior Living Inc. was incorporated in 2005 and is headquartered in Brentwood, Tennessee.",1.31,N/A,-14.44,4.1855073,1423791104,197200992,1.725,-0.92,-0.5,-1.12,1.982,14.558,2921486080,1368.322,12.934,0.00553,-0.47064
Brookdale Senior Living Inc. 7.,BKDT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Bausch + Lomb Corporation,BLCO,Canada,Medical Instruments & Supplies,Healthcare,"Bausch + Lomb Corporation operates as an eye health company in the United States, Puerto Rico, China, France, Japan, Germany, the United Kingdom, Canada, Russia, Spain, Italy, Mexico, Poland, South Korea, and internationally. It operates in three segments: Vision Care, Pharmaceuticals, and Surgical. The Vision Care segment provides contact lens that covers the spectrum of wearing modalities, including daily disposable and frequently replaced contact lenses; and contact lens care products comprising over-the-counter eye drops, eye vitamins, and mineral supplements that address various conditions, such as eye allergies, conjunctivitis, dry eye, and redness relief. Its Pharmaceuticals segment offers proprietary and generic pharmaceutical products for post-operative treatments, as well as for the treatment of glaucoma, eye inflammation, ocular hypertension, dry eyes, and retinal diseases. The Surgical segment provides medical device equipment, consumables, and technologies for the treatment of cataracts, corneal, vitreous, and retinal eye conditions; and intraocular lenses and delivery systems, phacoemulsification equipment, and other surgical instruments and devices for cataract surgery. The company sells its products and services through direct sales forces and independent distributors. Bausch + Lomb Corporation was founded in 1853 and is headquartered in Vaughan, Canada. Bausch + Lomb Corporation operates as a subsidiary of Bausch Health Companies Inc.",0.469,N/A,13.956521,0.86822456,5677270016,351895008,18.486,-1.27,1.15,13.37,2.24,16.591,4495000064,70.395,12.803,0.00962,-0.06495
Bristol-Myers Squibb Company,BMY,United States,Drug Manufacturers - General,Healthcare,"Bristol-Myers Squibb Company discovers, develops, licenses, manufactures, markets, distributes, and sells biopharmaceutical products worldwide. It offers products for hematology, oncology, cardiovascular, immunology, fibrotic, and neuroscience diseases. The company's products include Eliquis for reduction in risk of stroke/systemic embolism in non-valvular atrial fibrillation, and for the treatment of DVT/PE; Opdivo for various anti-cancer indications, including bladder, blood, CRC, head and neck, RCC, HCC, lung, melanoma, MPM, stomach and esophageal cancer; Pomalyst/Imnovid for multiple myeloma; Orencia for active rheumatoid arthritis and psoriatic arthritis; and Sprycel for the treatment of Philadelphia chromosome-positive chronic myeloid leukemia. It also provides Yervoy for the treatment of patients with unresectable or metastatic melanoma; Empliciti for the treatment of multiple myeloma; Abecma for the treatment of relapsed or refractory multiple myeloma; Reblozyl for the treatment of anemia; Opdualag for the treatment of unresectable or metastatic melanoma; and Zeposia to treat relapsing forms of multiple sclerosis. In addition, the company offers Breyanzi for the treatment of relapsed or refractory large B-cell lymphoma; Onureg for the treatment of AML; Inrebic for the treatment of myelofibrosis; Camzyos for the treatment of symptomatic obstructive HCM to enhance functional capacity and symptom; Sotyktu for the treatment of moderate-to-severe plaque psoriasis; Augtyro for the treatment of locally advanced or metastatic ROS1-positive NSCLC; Revlimid, an oral immunomodulatory drug for the treatment of multiple myeloma; and Abraxane to treat breast cancer, NSCLC and pancreatic cancer. It sells products to wholesalers, distributors, pharmacies, retailers, hospitals, clinics, and government agencies. The company was formerly known as Bristol-Myers Company. Bristol-Myers Squibb Company was founded in 1887 and is headquartered in Princeton, New Jersey.",0.439,N/A,6.891429,5.746962,97801773056,2027399936,8.394,-3.25,7,-13.16,3.122,7.623,46508998656,316.386,22.871,0.06002,-0.26591
Boston Scientific Corporation,BSX,United States,Medical Devices,Healthcare,"Boston Scientific Corporation develops, manufactures, and markets medical devices for use in various interventional medical specialties worldwide. It operates through two segments, MedSurg and Cardiovascular. The company offers devices to diagnose and treat gastrointestinal and pulmonary conditions, such as resolution clips, biliary stent systems, stents and electrocautery enhanced delivery systems, direct visualization systems, digital catheters, and single-use duodenoscopes; devices to treat urological conditions, including ureteral stents, catheters, baskets, guidewires, sheaths, balloons, single-use digital flexible ureteroscopes, holmium laser systems, artificial urinary sphincter, laser system, fiber, and hydrogel systems; and devices to treat neurological movement disorders and manage chronic pain, such as spinal cord stimulator system, proprietary programming software, radiofrequency generator, indirect decompression systems, practice optimization tools, and deep brain stimulation system. It also provides technologies for diagnosing and treating coronary artery disease and aortic valve conditions; WATCHMAN FLX, a Left Atrial Appendage Closure Device; and implantable devices that monitor the heart and deliver electricity to treat cardiac abnormalities, such as cardioverter and cardiac resynchronization therapy defibrillators, MRI S-ICD systems, cardiac resynchronization therapy pacemakers, quadripolar LV leads, ICD leads, pacing leads, remote patient management systems, insertable cardiac monitor systems, and remote cardiac monitoring systems. In addition, the company offers diagnosis and treatment of rate and rhythm disorders of the heart; peripheral arterial and venous diseases; and products to diagnose, treat and ease forms of cancer. The company was incorporated in 1979 and is headquartered in Marlborough, Massachusetts.",0.786,64.60976,29.216911,5.738735,1.1703E+11,1472630016,13.848,1.23,2.72,2.57,8.227,31.735,15228999680,53.064,10.379,0.04808,0.093210004
British American Tobacco  Indus,BTI,United Kingdom,Tobacco,Consumer Defensive,"British American Tobacco p.l.c. engages in the provision of tobacco and nicotine products to consumers worldwide. It also offers vapour, heated, and modern oral nicotine products; combustible cigarettes; and traditional oral products, such as snus and moist snuff. The company offers its products under the Vuse, glo, Velo, Grizzly, Kodiak, Dunhill, Kent, Lucky Strike, Pall Mall, Rothmans, Camel, Natural American Spirit, Newport, Vogue, Viceroy, Kool, Peter Stuyvesant, Craven A, State Express 555 and Shuang Xi brands. It also distributes its products to retail outlets. British American Tobacco p.l.c. was founded in 1902 and is based in London, the United Kingdom.",0.271,N/A,7.6265554,1.5587499,81255399424,2210429952,23.583,-8.15,4.82,1.48,4.417,9.079,26182000640,74.143,2.3524,0.05164,-0.21503
"Cardinal Health, Inc.",CAH,United States,Medical Distribution,Healthcare,"Cardinal Health, Inc. operates as a healthcare services and products company in the United States, Canada, Europe, Asia, and internationally. It provides customized solutions for hospitals, healthcare systems, pharmacies, ambulatory surgery centers, clinical laboratories, physician offices, and patients in the home. The company operates in two segments: Pharmaceutical and Specialty Solutions, and Global Medical Products and Distribution. It distributes branded and generic pharmaceutical, specialty pharmaceutical, and over-the-counter healthcare and consumer products, as well as medical supplies. The company also provides services to pharmaceutical manufacturers and healthcare providers for specialty pharmaceutical products; offers pharmacy management services to hospitals; operates pharmacies, including pharmacies in community health centers; and repackages generic pharmaceuticals and over-the-counter healthcare products. In addition, it manufactures, sources, and distributes Cardinal Health branded medical, surgical, and laboratory products and devices that include exam and surgical gloves; needles, syringe, and sharps disposals; compression solution, incontinence, nutritional delivery, and wound care products; single-use surgical drapes, gowns, and apparel products; fluid suction and collection systems; urology products; operating room supply products; and electrode product lines. Further, the company distributes a range of national brand products, including medical, surgical, and laboratory products; provides supply chain services and solutions to hospitals, ambulatory surgery centers, clinical laboratories, and other healthcare providers; and assembles and sells sterile, and non-sterile procedure kits. Additionally, it manufactures, prepares, delivers, and distributes radiopharmaceuticals and related treatments; and optimizes direct shipments through integrated technology solutions. The company was incorporated in 1979 and is headquartered in Dublin, Ohio.",0.622,31.771015,12.986967,N/A,26727849984,243844992,-13.168,3.45,8.44,1.31,0.119,9.542,2.26827E+11,N/A,925.824,0.03009,N/A
Concord Medical Services Holdin,CCM,China,Medical Care Facilities,Healthcare,"Concord Medical Services Holdings Limited, through its subsidiaries, operates a network of radiotherapy and diagnostic imaging centers in the People's Republic of China. It operates in two segments, Network and Hospital. The company's services include linear accelerators and external beam radiotherapy, proton therapy system, gamma knife radiosurgery, and diagnostic imaging services. Its other treatments and diagnostic services comprise positron emission tomography-computed tomography and magnetic resonance imaging scanners. In addition, the company provides clinical support services, such as developing treatment protocols for doctors, and organizing joint diagnosis between doctors in its network and clinical research, as well as helps to recruit and determine the compensation of doctors and other medical personnel. Further, it offers radiotherapy and diagnostic equipment leasing, management services, and premium cancer and proton treatment services to hospitals, as well as teleconsultation and medical information technology services; and sells medical equipment. Additionally, the company operates specialty cancer hospitals, which offers radiation, imaging, test laboratory, inpatient, and nursing services. Concord Medical Services Holdings Limited was founded in 1997 and is headquartered in Beijing, the People's Republic of China.",-0.231,N/A,-47.366665,N/A,30131524,2815460,-488.733,-9.77,-0.15,N/A,14.946,-23.338,537401984,188.651,123.019,-0.047989998,-0.28226
"Cadre Holdings, Inc.",CDRE,United States,Aerospace & Defense,Industrials,"Cadre Holdings, Inc. manufactures and distributes safety that provides protection to users in hazardous or life-threatening situations in the United States and internationally. The company operates in two segments, Products and Distribution. It offers body armor product, such as concealable, corrections, and tactical armor under the Safariland and Protech Tactical brand names; survival suits, remotely operated vehicles, specialty tools, blast sensors, accessories, and vehicle blast attenuation seats for bomb safety technicians; bomb suits; duty gear, including belts and accessories; and other protective equipment comprising communications gear, forensic and investigation products, firearms cleaning solutions, and crowd control products. The company also offers third-party products, such as uniforms, optics, boots, firearms, and ammunition. It serves first responders, such as state and local law enforcement, fire and rescue, explosive ordnance disposal technicians, emergency medical technicians, fishing, and wildlife enforcement and departments of corrections, as well as federal agencies including the U.S. Department of State, U.S. Department of Defense, U.S. Department of Interior, U.S. Department of Justice, U.S. Department of Homeland Security, U.S. Department of Corrections, the Department of Energy, Los Alamos National Laboratories, Waste Isolation Plant, and various foreign government agencies. Cadre Holdings, Inc. was founded in 1964 and is headquartered in Jacksonville, Florida.",1.292,34.543694,26.55224,4.8263702,1461480576,40608000,7.372,1.03,1.34,2.08,2.926,17.869,531865984,73.856,13.839,0.086969994,0.1673
Chemed Corp,CHE,United States,Medical Care Facilities,Healthcare,"Chemed Corporation provides hospice and palliative care services to patients through a network of physicians, registered nurses, home health aides, social workers, clergy, and volunteers primarily in the United States. The company operates in VITAS and Roto-Rooter segments. It offers plumbing, drain cleaning, excavation, water restoration, and other related services to residential and commercial customers through company-owned branches, independent contractors, and franchisees. The company was incorporated in 1970 and is headquartered in Cincinnati, Ohio.",0.428,28.98124,22.438557,7.098445,8582822912,14995200,80.512,19.72,25.47,2.16,3.637,20.02,2335557120,12.126,154.693,0.14130999,0.27871
The Cigna Group,CI,United States,Healthcare Plans,Healthcare,"The Cigna Group, together with its subsidiaries, provides insurance and related products and services in the United States. Its Evernorth Health Services segment provides a range of coordinated and point solution health services, including pharmacy benefits, home delivery pharmacy, specialty pharmacy, distribution, and care delivery and management solutions to health plans, employers, government organizations, and health care providers. The company's Cigna Healthcare segment offers medical, pharmacy, behavioral health, dental, and other products and services for insured and self-insured customers; Medicare Advantage, Medicare Supplement, and Medicare Part D plans for seniors, as well as individual health insurance plans; and health care coverage in its international markets, as well as health care benefits for mobile individuals and employees of multinational organizations. In addition, it offers permanent insurance contracts sold to corporations to provide coverage on the lives of certain employees for financing employer-paid future benefit obligations. The company distributes its products and services through insurance brokers and consultants; directly to employers, unions and other groups, or individuals; and private and public exchanges. The company was formerly known as Cigna Corporation and changed its name to The Cigna Group in February 2023. The Cigna Group was founded in 1792 and is headquartered in Bloomfield, Connecticut.",0.524,27.93528,11.091821,2.3934593,98957377536,279548992,147.878,12.67,31.91,1.02,0.574,13.232,2.16008E+11,78.515,749.406,0.031059999,0.091280006
Centene Corporation,CNC,United States,Healthcare Plans,Healthcare,"Centene Corporation operates as a healthcare enterprise that provides programs and services to under-insured and uninsured families, commercial organizations, and military families in the United States. The company operates through Medicaid, Medicare, Commercial, and Other segments. The Medicaid segment offers health plan coverage, including medicaid expansion, aged, blind, disabled, children's health insurance program, foster care, medicare-medicaid plans, long-term services and support. This segment also provides healthcare products. The Medicare segment offers special needs and medicare supplement, and prescription drug plans. The Commercial segment provides health insurance marketplace product for individual, small, and large group commercials. It also operates clinical healthcare and pharmacies, as well as offers dental and speech therapy services. In addition, the company engages in the government contracts business under the TRICARE program and other healthcare related government contracts. It provides services through primary and specialty care physicians, hospitals, and ancillary providers. Centene Corporation was founded in 1984 and is headquartered in Saint Louis, Missouri.",0.499,14.794286,10.510149,1.4937112,41319661568,526030016,51.998,5.25,7.39,0.91,0.266,6.112,1.44064E+11,64.202,269.487,0.03782,0.10585
CONMED Corporation,CNMD,United States,Medical Devices,Healthcare,"CONMED Corporation, a medical technology company, develops, manufactures, and sells surgical devices and related equipment for surgical procedures worldwide. The company offers orthopedic surgery products, including BioBrace, TruShot with Y-Knot All-In-One Soft Tissue Fixation System, Y-knot All-Suture Anchors, and Agro Knotless Suture Anchors, which provide clinical solutions to orthopedic surgeons for the augmentation and repair of soft tissue injuries, as well as provides supporting products that enable surgeons to perform minimally invasive sports medicine surgeries. It markets orthopedic surgery products under the Hall, CONMED Linvatec, Concept, and Shutt brands. The company also provides battery-powered and autoclavable bone power tool systems for use in orthopedic, arthroscopic, oral/maxillofacial, podiatric, spinal, and cardiothoracic surgeries under Hall surgical brand name. In addition, it offers general surgery products, including clinical insufflation systems under AirSeal brand; smoke removal devices under Buffalo Filter brand; endomechanical products, such as tissue retrieval bags, trocars, suction irrigation devices, graspers, scissors, and dissectors used in minimally invasive surgeries; and electrosurgical solution comprising monopolar and bipolar generators, argon beam coagulation generators, handpieces, smoke management systems and other accessories. Further, the company provides endoscopic technologies, including therapeutic and diagnostic products for use in gastroenterology procedures, and products for the treatment of diseases of the dilatation, hemostasis, biliary, structure management, and infection prevention and patient monitoring, including ECG and EEG electrodes, and cardiac defibrillation pads. It markets its products directly to hospitals, surgery centers, and other healthcare institutions, as well as through medical specialty distributors. CONMED Corporation was incorporated in 1970 and is headquartered in Largo, Florida.",1.424,23.044586,14.707317,2.5291855,2230808064,30829300,28.61,3.14,4.92,0.89,2.483,14.755,1275993984,109.532,41.468,0.03923,0.118640006
Concentra Group Holdings Parent,CON,United States,Medical Care Facilities,Healthcare,"Concentra Group Holdings Parent, Inc. provides occupational health services in the United States. The company offers occupational and consumer health services, including workers' compensation injury care, urgent care, clinical testing, preventative care, and employer services, as well as wellness programs through occupational health centers and onsite clinics. It also provides Concentra Telemed, a telemedicine solution for the treatment of work-related injuries and illnesses, and employer services; pharmacy solution under the Concentra Pharmacy name; and Concentra Medical Compliance Administration, a third-party administrator that helps to manage abuse testing programs for employers with regulated or non-regulated workforces. The company was founded in 1979 and is based in Mechanicsburg, Pennsylvania. Concentra Group Holdings Parent, Inc. is a subsidiary of Select Medical Corporation.",N/A,25.69565,18.911999,1.9655774,2992681984,126594000,12.027,0.92,1.25,N/A,1.768,9.034,1860216960,67.773,17.868,N/A,N/A
